,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6918,0.6774,0.6585,0.1038,0.1794,0.1667,0.6943
0_1,0.6171,0.5772,0.4634,0.0742,0.1279,0.0728,0.6795
0_2,0.6872,0.6661,0.675,0.0931,0.1636,0.1502,0.658
0_3,0.6627,0.6184,0.525,0.0868,0.1489,0.1122,0.7026
0_4,0.7038,0.681,0.675,0.1011,0.1759,0.167,0.6865
0_5,0.7382,0.7212,0.75,0.1128,0.1961,0.2042,0.6952
0_6,0.735,0.6909,0.7,0.1029,0.1795,0.1753,0.6828
0_7,0.6638,0.646,0.575,0.0958,0.1643,0.1387,0.71
0_8,0.7016,0.6687,0.675,0.0944,0.1656,0.1531,0.6629
0_9,0.6982,0.672,0.6585,0.1007,0.1748,0.1604,0.684
0_Mean,0.6899,0.6619,0.6355,0.0966,0.1676,0.1501,0.6856
0_SD,0.0357,0.0401,0.0872,0.0106,0.0187,0.0362,0.0163
Mean,0.6899,0.6619,0.6355,0.0966,0.1676,0.1501,0.6856
SD,0.0357,0.0401,0.0872,0.0106,0.0188,0.0362,0.0163
