,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.3507,0.3511,0.4615,0.0108,0.0211,-0.0911,0.2446
0_1,0.456,0.454,0.6923,0.0156,0.0306,-0.0294,0.2242
0_2,0.3483,0.3483,0.4615,0.0107,0.021,-0.0935,0.2391
0_3,0.3926,0.3926,0.4615,0.0121,0.0236,-0.0603,0.3261
0_4,0.3793,0.3793,0.5,0.0111,0.0217,-0.0695,0.2626
0_5,0.4991,0.4988,0.75,0.0163,0.0319,-0.0007,0.2558
0_6,0.5209,0.5266,0.7692,0.019,0.037,0.0156,0.2925
0_7,0.3797,0.3797,0.4615,0.0117,0.0228,-0.0691,0.3007
0_8,0.5113,0.5113,0.7692,0.0182,0.0356,0.0069,0.2626
0_9,0.4604,0.4604,0.6923,0.0159,0.0311,-0.0248,0.2367
0_Mean,0.4298,0.4302,0.6019,0.0141,0.0276,-0.0416,0.2645
0_SD,0.0673,0.068,0.1428,0.0032,0.0063,0.0405,0.0323
Mean,0.4298,0.4302,0.6019,0.0141,0.0276,-0.0416,0.2645
SD,0.0673,0.068,0.1428,0.0032,0.0063,0.0405,0.0323
