,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6041,0.6046,0.75,0.0271,0.0523,0.0584,0.4649
0_1,0.5222,0.5222,0.5294,0.0228,0.0437,0.0127,0.5154
0_2,0.6506,0.6511,0.8235,0.0326,0.0628,0.0866,0.4859
0_3,0.5674,0.5679,0.6471,0.0263,0.0506,0.0389,0.492
0_4,0.6557,0.6561,0.8235,0.0333,0.0639,0.0894,0.4957
0_5,0.6211,0.6217,0.7647,0.0304,0.0584,0.0697,0.4846
0_6,0.6612,0.6618,0.8235,0.034,0.0653,0.0926,0.5068
0_7,0.603,0.6036,0.7059,0.0293,0.0563,0.0593,0.5055
0_8,0.6184,0.6185,0.7647,0.03,0.0578,0.068,0.4785
0_9,0.5271,0.5147,0.5294,0.0221,0.0425,0.0084,0.5006
0_Mean,0.6031,0.6022,0.7162,0.0288,0.0554,0.0584,0.493
0_SD,0.05,0.0524,0.1131,0.0042,0.008,0.03,0.015
Mean,0.6031,0.6022,0.7162,0.0288,0.0554,0.0584,0.493
SD,0.0501,0.0524,0.1131,0.0042,0.008,0.03,0.015
