,MACCS,Morgan,Rdkit,Layerd,Pattern
MLP,1,0,0,1,1
GBT,0,0,0,1,0
RF,1,0,0,0,0
LR,2,0,1,1,0
KNN,6,2,3,8,3
NB,0,0,0,0,0
