,MACCS,Morgan,Rdkit,Layerd,Pattern
MLP,0,0,1,0,0
GBT,0,0,0,0,0
RF,5,1,0,0,0
LR,0,0,0,0,0
KNN,0,0,0,0,0
NB,18,1,1,1,3
