,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6824,0.6119,0.6857,0.1368,0.228,0.1322,0.5523
0_1,0.6246,0.5681,0.6286,0.1199,0.2014,0.0804,0.5193
0_2,0.6627,0.5979,0.6714,0.1309,0.2191,0.1156,0.5386
0_3,0.6671,0.6274,0.7,0.1437,0.2384,0.1507,0.5689
0_4,0.632,0.59,0.6571,0.1281,0.2145,0.1063,0.5358
0_5,0.6996,0.6264,0.7391,0.1378,0.2323,0.1484,0.5352
0_6,0.6284,0.6035,0.6812,0.1313,0.2201,0.1215,0.5407
0_7,0.6326,0.5863,0.6429,0.1275,0.2128,0.102,0.5407
0_8,0.6654,0.6243,0.7143,0.1408,0.2353,0.1469,0.5517
0_9,0.6623,0.6108,0.6857,0.1364,0.2275,0.1309,0.5503
0_Mean,0.6557,0.6047,0.6806,0.1333,0.2229,0.1235,0.5433
0_SD,0.0253,0.0194,0.0329,0.0071,0.0115,0.0229,0.0133
Mean,0.6557,0.6047,0.6806,0.1333,0.2229,0.1235,0.5434
SD,0.0253,0.0194,0.0329,0.0071,0.0115,0.0229,0.0133
