,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.613,0.6208,0.7812,0.0561,0.1046,0.0944,0.4729
0_1,0.5846,0.578,0.7188,0.0498,0.0931,0.0613,0.4483
0_2,0.5503,0.5475,0.5938,0.0466,0.0864,0.037,0.5049
0_3,0.649,0.6505,0.8125,0.0612,0.1138,0.1172,0.5012
0_4,0.5415,0.5433,0.625,0.0455,0.0847,0.0338,0.468
0_5,0.5535,0.5531,0.6364,0.0484,0.0899,0.042,0.4766
0_6,0.5957,0.5843,0.6667,0.0537,0.0993,0.0666,0.5086
0_7,0.5244,0.5184,0.6364,0.043,0.0806,0.0149,0.4101
0_8,0.6069,0.5988,0.697,0.0558,0.1034,0.078,0.5086
0_9,0.5813,0.596,0.6875,0.0539,0.1,0.0748,0.5117
0_Mean,0.58,0.5791,0.6855,0.0514,0.0956,0.062,0.4811
0_SD,0.038,0.0397,0.0698,0.0057,0.0104,0.0309,0.033
Mean,0.58,0.5791,0.6855,0.0514,0.0956,0.062,0.4811
SD,0.038,0.0397,0.0697,0.0057,0.0104,0.0309,0.033
