,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7708,0.7708,0.875,0.7778,0.8235,0.5594,0.7857
0_1,0.625,0.625,0.75,0.6667,0.7059,0.2582,0.6429
0_2,0.5,0.5,0.5,0.5714,0.5333,0.0,0.5
0_3,0.6667,0.6667,0.5,0.8,0.6154,0.3443,0.6429
0_4,0.7708,0.7708,0.875,0.7778,0.8235,0.5594,0.7857
0_5,0.6875,0.6875,0.875,0.7,0.7778,0.4108,0.7143
0_6,0.4792,0.4792,0.625,0.5556,0.5882,-0.043,0.5
0_7,0.5417,0.5417,0.75,0.6,0.6667,0.0913,0.5714
0_8,0.5333,0.5333,0.6667,0.6667,0.6667,0.0667,0.5714
0_9,0.4125,0.4125,0.625,0.5556,0.5882,-0.1845,0.4615
0_Mean,0.5988,0.5987,0.7042,0.6671,0.6789,0.2063,0.6176
0_SD,0.1241,0.1241,0.1449,0.0953,0.1024,0.2589,0.1171
Mean,0.5987,0.5987,0.7042,0.6672,0.6789,0.2063,0.6176
SD,0.1241,0.1241,0.1449,0.0953,0.1024,0.2589,0.1171
