,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.5581,0.5589,0.7,0.0148,0.0289,0.0263,0.4212
0_1,0.4885,0.4888,0.5,0.0118,0.023,-0.005,0.4778
0_2,0.4287,0.4544,0.4,0.0101,0.0196,-0.0201,0.5074
0_3,0.6009,0.6012,0.7,0.0172,0.0337,0.0447,0.5049
0_4,0.5632,0.5647,0.6364,0.0169,0.033,0.0299,0.4951
0_5,0.3828,0.3836,0.2727,0.0074,0.0143,-0.0538,0.4914
0_6,0.5986,0.5996,0.7273,0.0186,0.0362,0.0461,0.4754
0_7,0.5909,0.5915,0.7273,0.018,0.0352,0.0425,0.4594
0_8,0.5554,0.556,0.6364,0.0164,0.032,0.0259,0.4778
0_9,0.4891,0.4891,0.5,0.0118,0.0231,-0.0048,0.4784
0_Mean,0.5256,0.5288,0.58,0.0143,0.0279,0.0132,0.4789
0_SD,0.0754,0.0722,0.1557,0.0038,0.0074,0.033,0.025
Mean,0.5256,0.5288,0.58,0.0143,0.0279,0.0132,0.4789
SD,0.0754,0.0722,0.1557,0.0038,0.0075,0.033,0.025
