,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7464,0.4903,0.0,0.0,,-0.0187,0.9633
0_1,0.7772,0.57,0.1538,0.1667,0.16,0.1456,0.9715
0_2,0.7183,0.4972,0.0,0.0,,-0.0099,0.9769
0_3,0.6992,0.535,0.0769,0.1667,0.1053,0.1026,0.9769
0_4,0.7505,0.4965,0.0,0.0,,-0.0107,0.9769
0_5,0.7055,0.5348,0.0833,0.0909,0.087,0.0725,0.9714
0_6,0.8006,0.6071,0.2308,0.2,0.2143,0.1996,0.9701
0_7,0.8246,0.6092,0.2308,0.25,0.24,0.2271,0.9741
0_8,0.8155,0.5728,0.1538,0.25,0.1905,0.1849,0.9769
0_9,0.7594,0.5728,0.1538,0.25,0.1905,0.1849,0.9769
0_Mean,0.7597,0.5486,0.1083,0.1374,0.1696,0.1078,0.9735
0_SD,0.0446,0.0445,0.0901,0.1067,0.0561,0.0949,0.0045
Mean,0.7597,0.5486,0.1083,0.1374,0.1697,0.1078,0.9735
SD,0.0446,0.0445,0.0901,0.1067,0.0561,0.095,0.0045
