,MACCS,Morgan,Rdkit,Layerd,Pattern
MLP,1,0,0,0,0
GBT,0,2,1,2,0
RF,5,6,0,7,5
LR,0,0,1,0,0
KNN,0,0,0,0,1
NB,0,0,0,0,0
