,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8236,0.6927,0.5417,0.7222,0.619,0.4084,0.7143
0_1,0.8529,0.7394,0.64,0.7619,0.6957,0.4916,0.75
0_2,0.7226,0.6748,0.64,0.64,0.64,0.3497,0.6786
0_3,0.7735,0.6503,0.72,0.5806,0.6429,0.3006,0.6429
0_4,0.8574,0.7832,0.76,0.76,0.76,0.5665,0.7857
0_5,0.8026,0.6787,0.68,0.6296,0.6538,0.3556,0.6786
0_6,0.7039,0.6871,0.6,0.6818,0.6383,0.3809,0.6964
0_7,0.6935,0.671,0.6,0.6522,0.625,0.3455,0.6786
0_8,0.7688,0.6835,0.625,0.6522,0.6383,0.3689,0.6909
0_9,0.7285,0.621,0.5,0.6,0.5455,0.2494,0.6364
0_Mean,0.7727,0.6882,0.6307,0.6681,0.6458,0.3817,0.6952
0_SD,0.0602,0.045,0.0776,0.0627,0.0547,0.0908,0.0455
Mean,0.7727,0.6882,0.6307,0.668,0.6458,0.3817,0.6952
SD,0.0602,0.045,0.0776,0.0627,0.0547,0.0908,0.0455
