,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7602,0.6234,0.3061,0.25,0.2752,0.2247,0.9022
0_1,0.7355,0.6659,0.3673,0.4,0.383,0.3453,0.9282
0_2,0.8089,0.6494,0.3542,0.2881,0.3178,0.2715,0.9095
0_3,0.7245,0.5948,0.2292,0.2683,0.2472,0.2043,0.917
0_4,0.657,0.548,0.125,0.2143,0.1579,0.1241,0.9207
0_5,0.7508,0.5975,0.2292,0.2973,0.2588,0.2204,0.9219
0_6,0.7704,0.611,0.2708,0.26,0.2653,0.2179,0.9108
0_7,0.7454,0.6385,0.3061,0.4054,0.3488,0.3164,0.9306
0_8,0.7704,0.6181,0.2653,0.3714,0.3095,0.277,0.9281
0_9,0.7723,0.5994,0.2449,0.2553,0.25,0.2026,0.9108
0_Mean,0.7495,0.6146,0.2698,0.301,0.2814,0.2404,0.918
0_SD,0.04,0.0331,0.0701,0.0673,0.0625,0.0637,0.0095
Mean,0.7495,0.6146,0.2698,0.301,0.2814,0.2404,0.918
SD,0.04,0.0331,0.0701,0.0673,0.0625,0.0637,0.0095
