,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.585,0.5477,0.75,0.0169,0.0331,0.0243,0.3514
0_1,0.6433,0.6263,0.9231,0.0219,0.0429,0.0677,0.3391
0_2,0.5368,0.5241,0.6923,0.0172,0.0336,0.0126,0.3613
0_3,0.611,0.5985,0.8462,0.0208,0.0406,0.052,0.3588
0_4,0.5525,0.5688,0.7692,0.0195,0.038,0.0359,0.3748
0_5,0.4991,0.4984,0.6923,0.016,0.0312,-0.0009,0.3107
0_6,0.6153,0.6092,0.8462,0.0215,0.0419,0.0568,0.3798
0_7,0.7112,0.6773,1.0,0.0246,0.0481,0.0934,0.365
0_8,0.6131,0.606,0.8462,0.0213,0.0415,0.0554,0.3736
0_9,0.6242,0.6275,0.9167,0.0204,0.0399,0.0653,0.3469
0_Mean,0.5991,0.5884,0.8282,0.02,0.0391,0.0463,0.3561
0_SD,0.0596,0.0537,0.1021,0.0027,0.0052,0.0283,0.0205
Mean,0.5992,0.5884,0.8282,0.02,0.0391,0.0462,0.3561
SD,0.0596,0.0537,0.1021,0.0027,0.0052,0.0283,0.0205
