,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.54,0.54,0.6667,0.0046,0.0092,0.0104,0.4144
0_1,0.3665,0.3665,0.3333,0.0023,0.0045,-0.0347,0.3995
0_2,0.6872,0.6872,1.0,0.0087,0.0172,0.0569,0.3777
0_3,0.5721,0.5717,0.75,0.0067,0.0133,0.0216,0.3954
0_4,0.6988,0.6981,1.0,0.0067,0.0134,0.0517,0.3986
0_5,0.5499,0.5499,0.6667,0.0048,0.0095,0.0128,0.434
0_6,0.3825,0.3825,0.3333,0.0024,0.0048,-0.0302,0.4313
0_7,0.5458,0.5458,0.6667,0.0047,0.0094,0.0118,0.4259
0_8,0.3764,0.3764,0.3333,0.0023,0.0047,-0.0319,0.419
0_9,0.5565,0.556,0.6667,0.0049,0.0097,0.0144,0.4463
0_Mean,0.5276,0.5274,0.6417,0.0048,0.0096,0.0083,0.4142
0_SD,0.1194,0.1193,0.2486,0.0021,0.0042,0.0324,0.0211
Mean,0.5276,0.5274,0.6417,0.0048,0.0096,0.0083,0.4142
SD,0.1195,0.1193,0.2486,0.0021,0.0042,0.0324,0.0211
