,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.4483,0.4695,0.8095,0.0267,0.0518,-0.0302,0.1489
0_1,0.5745,0.5682,1.0,0.0331,0.064,0.0672,0.1612
0_2,0.5068,0.5371,0.9545,0.0325,0.0629,0.0394,0.1448
0_3,0.5683,0.5561,0.9545,0.0339,0.0655,0.0531,0.1817
0_4,0.5697,0.5641,1.0,0.0343,0.0664,0.0663,0.1544
0_5,0.5597,0.5438,0.9524,0.0315,0.0611,0.0431,0.1587
0_6,0.5394,0.5368,0.9524,0.0311,0.0602,0.0379,0.145
0_7,0.5003,0.508,0.9048,0.0292,0.0566,0.0085,0.1341
0_8,0.5207,0.541,0.9524,0.0313,0.0607,0.0411,0.1532
0_9,0.5247,0.557,1.0,0.0323,0.0626,0.0607,0.1395
0_Mean,0.5312,0.5382,0.9481,0.0316,0.0612,0.0387,0.1521
0_SD,0.0397,0.0297,0.0571,0.0023,0.0043,0.0297,0.0134
Mean,0.5312,0.5382,0.948,0.0316,0.0612,0.0387,0.1522
SD,0.0397,0.0297,0.0571,0.0023,0.0043,0.0297,0.0134
