,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.651,0.6168,0.4146,0.1083,0.1717,0.1294,0.7985
0_1,0.7311,0.6573,0.475,0.1329,0.2077,0.1787,0.8216
0_2,0.6719,0.6168,0.425,0.103,0.1659,0.1256,0.7897
0_3,0.7539,0.6892,0.575,0.1314,0.214,0.1991,0.7921
0_4,0.6287,0.645,0.475,0.1173,0.1881,0.157,0.7983
0_5,0.6875,0.6704,0.5,0.1399,0.2186,0.1936,0.8241
0_6,0.5793,0.5832,0.35,0.0897,0.1429,0.0913,0.7934
0_7,0.6462,0.5877,0.35,0.094,0.1481,0.098,0.802
0_8,0.6984,0.722,0.6098,0.1634,0.2577,0.2486,0.8229
0_9,0.7264,0.6738,0.5122,0.1419,0.2222,0.1972,0.8192
0_Mean,0.6774,0.6462,0.4687,0.1222,0.1937,0.1619,0.8062
0_SD,0.0531,0.045,0.0864,0.0236,0.0366,0.0504,0.0141
Mean,0.6774,0.6462,0.4687,0.1222,0.1937,0.1618,0.8062
SD,0.0531,0.045,0.0864,0.0237,0.0366,0.0504,0.0141
