,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.816,0.8149,0.6667,0.069,0.125,0.2062,0.9619
0_1,0.8171,0.8149,0.6667,0.069,0.125,0.2062,0.9619
0_2,0.8119,0.8121,0.6667,0.0606,0.1111,0.1922,0.9564
0_3,0.8092,0.8142,0.6667,0.0667,0.1212,0.2025,0.9605
0_4,0.6446,0.653,0.3333,0.0476,0.0833,0.1171,0.97
0_5,0.9649,0.8128,0.6667,0.0625,0.1143,0.1955,0.9578
0_6,0.7308,0.7336,0.5,0.0769,0.1333,0.186,0.9646
0_7,0.7236,0.7288,0.5,0.0606,0.1081,0.1626,0.955
0_8,0.7346,0.7336,0.5,0.0769,0.1333,0.186,0.9646
0_9,0.8096,0.6509,0.3333,0.0417,0.0741,0.1083,0.9659
0_Mean,0.7862,0.7569,0.55,0.0631,0.1129,0.1763,0.9618
0_SD,0.0851,0.0667,0.1372,0.0114,0.02,0.0359,0.0046
Mean,0.7862,0.7569,0.55,0.0632,0.1129,0.1763,0.9619
SD,0.0851,0.0667,0.1372,0.0114,0.02,0.0359,0.0046
