,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7234,0.6869,0.3889,0.3684,0.3784,0.364,0.9716
0_1,0.7945,0.7305,0.4737,0.4737,0.4737,0.4611,0.9753
0_2,0.828,0.76,0.5263,0.6667,0.5882,0.5838,0.9827
0_3,0.8693,0.7048,0.4211,0.4706,0.4444,0.4326,0.9753
0_4,0.8199,0.7606,0.5263,0.7143,0.6061,0.6053,0.984
0_5,0.8025,0.7121,0.4444,0.3333,0.381,0.3688,0.9679
0_6,0.8807,0.7702,0.5556,0.4545,0.5,0.4901,0.9753
0_7,0.8423,0.6907,0.3889,0.5385,0.4516,0.4473,0.979
0_8,0.866,0.6888,0.3889,0.4375,0.4118,0.3999,0.9753
0_9,0.8445,0.714,0.4444,0.381,0.4103,0.397,0.9716
0_Mean,0.8271,0.7219,0.4558,0.4838,0.4645,0.455,0.9758
0_SD,0.0462,0.0318,0.0625,0.1244,0.0798,0.0837,0.005
Mean,0.8271,0.7219,0.4558,0.4838,0.4646,0.455,0.9758
SD,0.0462,0.0318,0.0625,0.1244,0.0798,0.0837,0.005
