,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8432,0.7572,0.5294,0.4286,0.4737,0.4639,0.9754
0_1,0.7333,0.6401,0.2941,0.3125,0.303,0.2887,0.9717
0_2,0.6864,0.6395,0.2941,0.2941,0.2941,0.279,0.9704
0_3,0.7685,0.7443,0.5,0.4706,0.4848,0.4744,0.979
0_4,0.8264,0.7015,0.4118,0.5,0.4516,0.4432,0.979
0_5,0.8136,0.6427,0.2941,0.4167,0.3448,0.3385,0.9766
0_6,0.8077,0.6714,0.3529,0.4286,0.3871,0.3771,0.9766
0_7,0.7589,0.699,0.4118,0.3889,0.4,0.3869,0.9741
0_8,0.7661,0.6996,0.4118,0.4118,0.4118,0.3992,0.9753
0_9,0.7539,0.7315,0.4706,0.5714,0.5161,0.5093,0.9815
0_Mean,0.7758,0.6927,0.3971,0.4223,0.4067,0.396,0.976
0_SD,0.0475,0.0435,0.0869,0.0819,0.0762,0.078,0.0034
Mean,0.7758,0.6927,0.3971,0.4223,0.4067,0.396,0.976
SD,0.0474,0.0435,0.0869,0.0819,0.0762,0.078,0.0034
