,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8935,0.8027,0.6154,0.5,0.5517,0.5467,0.984
0_1,0.8319,0.8071,0.6154,0.8889,0.7273,0.7363,0.9926
0_2,0.8656,0.8809,0.7692,0.625,0.6897,0.6879,0.9889
0_3,0.8192,0.8731,0.75,0.75,0.75,0.7462,0.9926
0_4,0.7987,0.7456,0.5,0.4615,0.48,0.4723,0.984
0_5,0.8853,0.8424,0.6923,0.6,0.6429,0.6383,0.9877
0_6,0.8296,0.727,0.4615,0.5,0.48,0.4723,0.984
0_7,0.799,0.7301,0.4615,0.8571,0.6,0.6249,0.9901
0_8,0.8647,0.8052,0.6154,0.6667,0.64,0.6349,0.9889
0_9,0.774,0.8052,0.6154,0.6667,0.64,0.6349,0.9889
0_Mean,0.8362,0.8019,0.6096,0.6516,0.6202,0.6195,0.9882
0_SD,0.04,0.0547,0.1096,0.1469,0.0936,0.0965,0.0033
Mean,0.8362,0.8019,0.6096,0.6516,0.6202,0.6195,0.9882
SD,0.04,0.0547,0.1096,0.1469,0.0936,0.0965,0.0033
