,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7661,0.5604,0.125,0.25,0.1667,0.1705,0.9864
0_1,0.6841,0.557,0.125,0.1111,0.1176,0.1075,0.9795
0_2,0.7353,0.4993,0.0,0.0,,-0.0039,0.9877
0_3,0.8273,0.6868,0.375,0.75,0.5,0.5269,0.9918
0_4,0.6386,0.5514,0.1111,0.1429,0.125,0.1164,0.9809
0_5,0.7534,0.5597,0.125,0.2,0.1538,0.1508,0.985
0_6,0.7254,0.5611,0.125,0.3333,0.1818,0.1989,0.9877
0_7,0.6034,0.4972,0.0,0.0,,-0.0078,0.9836
0_8,0.6576,0.6229,0.25,0.4,0.3077,0.3103,0.9877
0_9,0.7684,0.6243,0.25,0.6667,0.3636,0.4046,0.9904
0_Mean,0.716,0.572,0.1486,0.2854,0.2395,0.1974,0.9861
0_SD,0.0688,0.0582,0.1153,0.2579,0.1372,0.1714,0.0039
Mean,0.716,0.572,0.1486,0.2854,0.2395,0.1974,0.9861
SD,0.0688,0.0582,0.1153,0.2579,0.1372,0.1714,0.0039
