,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7093,0.7154,0.5455,0.0612,0.1101,0.1529,0.8808
0_1,0.676,0.6408,0.4,0.0404,0.0734,0.0949,0.8758
0_2,0.923,0.8691,0.9,0.0647,0.1208,0.2161,0.8389
0_3,0.7297,0.6871,0.5,0.0472,0.0862,0.1225,0.8696
0_4,0.7651,0.6465,0.4,0.0444,0.08,0.1029,0.8868
0_5,0.6894,0.6958,0.5,0.0543,0.098,0.1363,0.8868
0_6,0.8072,0.8013,0.7273,0.0741,0.1345,0.2051,0.8733
0_7,0.7772,0.6649,0.4545,0.0476,0.0862,0.1136,0.8696
0_8,0.7009,0.6612,0.4545,0.045,0.082,0.1085,0.8622
0_9,0.8488,0.7944,0.7273,0.0672,0.1231,0.1925,0.8598
0_Mean,0.7627,0.7177,0.5609,0.0546,0.0994,0.1445,0.8704
0_SD,0.0789,0.0776,0.1675,0.0115,0.0213,0.0449,0.0144
Mean,0.7627,0.7177,0.5609,0.0546,0.0994,0.1445,0.8704
SD,0.0788,0.0776,0.1675,0.0115,0.0213,0.0449,0.0144
