,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7574,0.5551,0.1176,0.25,0.16,0.1596,0.9742
0_1,0.6357,0.53,0.0625,0.3333,0.1053,0.1374,0.9791
0_2,0.6561,0.5906,0.1875,0.375,0.25,0.255,0.9778
0_3,0.5402,0.5587,0.125,0.25,0.1667,0.1653,0.9754
0_4,0.6362,0.53,0.0625,0.3333,0.1053,0.1374,0.9791
0_5,0.519,0.4925,0.0,0.0,,-0.0174,0.9655
0_6,0.5405,0.5557,0.1176,0.2857,0.1667,0.1725,0.9754
0_7,0.565,0.525,0.0588,0.125,0.08,0.0725,0.9717
0_8,0.6549,0.5851,0.1765,0.375,0.24,0.2467,0.9766
0_9,0.6056,0.6139,0.2353,0.4,0.2963,0.2956,0.9766
0_Mean,0.611,0.5536,0.1143,0.2727,0.1745,0.1625,0.9751
0_SD,0.0724,0.0361,0.0711,0.1256,0.0739,0.0914,0.0041
Mean,0.6111,0.5537,0.1143,0.2727,0.1745,0.1625,0.9751
SD,0.0724,0.036,0.0711,0.1255,0.0739,0.0914,0.0041
