,deleted_duplicate_smiles_0
2821,C1=CC2=C(C=C1)C1=C(C=C2)C2=C(C=CC=C2)C=C1
4613,C1=CC2=CC3=CC=C4C=CC=C5C=CC(=C2C=C1)C3=C45
7560,CC1=C2C=CC=CC2=CC=C1
4113,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@](C)(O)CC[C@]12C
5409,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@H]2O
2858,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
4140,C\C=C1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
4141,C\C=C1\C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
5306,C1=CC2=C(C=C1)C=C1C(C=CC3=C1C=CC=C3)=C2
7610,C1=CC2=CC=CC=C2C=C1
3137,N#CC1=CC2=C(C=CC=C2)C2=C1C=CC=C2
6081,OCC(O)[C@@H](O)[C@H](O)[C@H](O)CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
7625,CC1=CC2=CC=CC=C2C=C1
2122,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O
6741,FC(Cl)(Cl)C(F)(Cl)Cl
6742,FC(F)(Cl)C(F)(Cl)Cl
3672,CCCCCCCCCCOC(=O)C(C)=C
7647,NC1=C(Cl)C=C(C=C1)C1=CC(Cl)=C(N)C=C1
2789,C1=CC=C2C=C3C4=CC=CC=C4C4=CC=CC=C4C3=CC2=C1
7525,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
5358,BrC1=CC2=C(C=CC=C2)C2=C1C=CC=C2
4976,C1=CC2=CC=C3C=C4C(C=CC5=CC=CC=C45)=CC3=C2C=C1
4212,C=CC(=O)OCCOCCOC(=O)C=C
6264,CC(=O)OCC(=O)[C@@]1(O)[C@@H](C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)OC(C)=O
3705,CCCCCCCCCCCCCCCCCCOC(=O)C(C)=C
