,deleted_duplicate_smiles_0
3847,[O-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCN1C=C[N+](C)=C1
524,BrC1=CC=CC=C1
3472,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
4001,[O-]S(=O)(=O)C(F)(F)F.CCCCCCN1C=C[N+](C)=C1
3618,F[P-](F)(F)(F)(F)F.CCCCCCCCCCN1C=C[N+](C)=C1
5028,O.O.[Zn++].CC([O-])=O.CC([O-])=O
2601,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCN1C=C[N+](C)=C1
2602,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
2603,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
3275,F[P-](F)(F)(F)(F)F.CCCCCCN1C=C[N+](C)=C1
3276,F[P-](F)(F)(F)(F)F.CCCCCCCCN1C=C[N+](C)=C1
6859,C1=CC2=C(C=C1)N=CC=N2
6098,[Cl-].[Cl-].[Zn++]
6743,F[B-](F)(F)F.CCCC[N+]1(C)CCCCC1
5980,[Cl-].[Cl-].[Cu++]
3702,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
3703,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
