,deleted_duplicate_smiles_0
2560,C1=CC=C2C=C3C4=CC=CC=C4C4=CC=CC=C4C3=CC2=C1
4500,C1=CC2=CC=C3C=C4C(C=CC5=CC=CC=C45)=CC3=C2C=C1
2590,C1=CC2=C(C=C1)C1=C(C=C2)C2=C(C=CC=C2)C=C1
6816,CC1=C2C=CC=CC2=CC=C1
6817,ClC1=C2C=CC=CC2=CC=C1
5028,O.O.[Zn++].CC([O-])=O.CC([O-])=O
1331,C1=CC2=C3C(C=CC4=CC=CC(C=C2)=C34)=C1
2871,N#CC1=CC2=C(C=CC=C2)C2=C1C=CC=C2
6585,C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2
4795,C1=CC2=C(C=C1)C=C1C(C=CC3=C1C=CC=C3)=C2
6860,C1=CC2=CC=CC=C2C=C1
6098,[Cl-].[Cl-].[Zn++]
6875,CC1=CC2=CC=CC=C2C=C1
5980,[Cl-].[Cl-].[Cu++]
6876,ClC1=CC=C2C=CC=CC2=C1
4837,BrC1=CC2=C(C=CC=C2)C2=C1C=CC=C2
4198,C1=CC2=CC3=CC=C4C=CC=C5C=CC(=C2C=C1)C3=C45
5992,[Cl-].[Cl-].[Hg++]
