,deleted_duplicate_smiles_0
6148,[Cl-].[Cl-].[Ni++]
2054,CC1(C)N(Br)C(=O)N(Cl)C1=O
2591,[I-].CCCN1C=C[N+](C)=C1C
5150,ClC1=CC(Cl)=C(Cl)C(Cl)=C1Cl
3618,F[P-](F)(F)(F)(F)F.CCCCCCCCCCN1C=C[N+](C)=C1
6688,ClC1=CC=CC(Cl)=C1Cl
2601,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCN1C=C[N+](C)=C1
2602,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
6212,C\C=C(/C)C(=O)OC\C=C(/C)CCC=C(C)C
79,O.O.O.O.O.O.[Ni++].[O-]S([O-])(=O)=O
6738,CC(C)(C)C1=CC(O)=C(C=C1O)C(C)(C)C
2648,NC1=CC=CC2=C(N)C=CC=C12
6751,[O-][N+](=O)C1=C(Cl)C=CC=C1
3681,CC=CC(O)=O
4198,C1=CC2=CC3=CC=C4C=CC=C5C=CC(=C2C=C1)C3=C45
2153,OC(=O)C1=C(Cl)C=CC(Cl)=N1
5737,CC(C)=CCCC(C)=CCCC(C)=O
7274,CC1=CC=C(C=C1C)[N+]([O-])=O
7276,[O-][N+](=O)C1=CC=C(Cl)C(Cl)=C1
2163,[Cl-].CCCCCCN1C=C[N+](C)=C1
2164,[Cl-].CCCCCCCCCCN1C=C[N+](C)=C1
3702,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
3703,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
6784,[O-][N+](=O)C1=CC(Cl)=C(Cl)C=C1Cl
5765,CCCCCCCCCBr
5766,CCCCCCCCCCCBr
6795,CC1=CC(C)=C(C=C1)[N+]([O-])=O
5270,[Cl-].CCCCCC[N+]1=CC=CC=C1
2205,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@@H]9[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O
4253,CN(C(=S)OC1=CC2=C(C=C1)C1CCC2C1)C1=CC(C)=CC=C1
6816,CC1=C2C=CC=CC2=CC=C1
2723,CC(=C)C(=O)OCCOCCOC(=O)C(C)=C
3252,[Na+].CCCCCCCCCCCCCOS([O-])(=O)=O
4795,C1=CC2=C(C=C1)C=C1C(C=CC3=C1C=CC=C3)=C2
1214,CCCCCCCC(O)=O
7356,CN1CC2=C(N[C@H](CC(O)=O)C1=O)C=CC(=C2)C(=O)N1CCC(CC1)C1CCNCC1
1729,CCCCCCC
1218,CCCCCCCC=O
1222,CCCCCCCCC=O
3783,[O-][N+](=O)C1=CC(=CC(=C1Cl)[N+]([O-])=O)C(F)(F)F
1224,CCCCCCCCCCCCCC=O
6345,CC1=CC(=CC=C1O)C(C)(C)C1=CC(C)=C(O)C=C1
1738,CCCCCCCCCCCC(O)=O
3275,F[P-](F)(F)(F)(F)F.CCCCCCN1C=C[N+](C)=C1
3276,F[P-](F)(F)(F)(F)F.CCCCCCCCN1C=C[N+](C)=C1
1741,CCCCCCCCCCCCBr
6860,C1=CC2=CC=CC=C2C=C1
6358,ClC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(Cl)C=C1
4824,[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C
4825,CCCCCCCCCCCCCCCC(O)=O
4826,CCCCCCCCCCCCCCCCCC(O)=O
6875,CC1=CC2=CC=CC=C2C=C1
4837,BrC1=CC2=C(C=CC=C2)C2=C1C=CC=C2
745,CCCCCCCCCC=O
5359,CCCCCCCCCCCCC
5360,CCCCCCCCCCCCCC
5361,CCCCCCCCCCCCCCC
5362,CCCCCCCCCCCCCCCBr
5365,CCCCCCCCCCCCCCCO
5366,CCCCCCCCCCCCCCCCC
764,CCCCCCCCCCC=O
3847,[O-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCN1C=C[N+](C)=C1
4875,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
2326,[O-][N+](=O)C1=C(Cl)C=C(Cl)C=C1Cl
5398,ClC1=C(Cl)C(Cl)=C(Cl)C=C1
5400,ClC1=CC(Cl)=C(Cl)C(Cl)=C1
794,CCCCCCCCCCCCCCCCBr
3873,CC=CC=O
3375,[O-][N+](=O)C1=CC=CC(Cl)=C1Cl
1840,ClC\C=C/CCl
2871,N#CC1=CC2=C(C=CC=C2)C2=C1C=CC=C2
5440,CCCCCCCCCCCCC(O)=O
1360,OC1=CC=CC(=C1)C(=O)C1=CC=CC=C1
6480,[O-][N+](=O)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl
4440,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
5976,[Br-].CCCCCC[N+]1=CC=CC=C1
2414,COC1=CC(Cl)=CC=C1Cl
6513,CC1=CC=CC(=C1C)[N+]([O-])=O
373,CCCOC(=O)CC
5496,[Cl-].CCCCCCCCN1C=C[N+](C)=C1
1917,[Na+].CCCCCCCCCCCCOS([O-])(=O)=O
2435,[O-][N+](=O)C1=CC(Cl)=C(Cl)C(Cl)=C1
3463,CCCCCCCCCC(O)=O
3472,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
7059,ClC1=CC=C2OC(=O)NC2=C1
4500,C1=CC2=CC=C3C=C4C(C=CC5=CC=CC=C45)=CC3=C2C=C1
7072,ClC1=C(Cl)C=CC=C1
4001,[O-]S(=O)(=O)C(F)(F)F.CCCCCCN1C=C[N+](C)=C1
5541,[Br-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC
6056,[H][C@@]12O[C@H](CO)[C@@]([H])(O[C@@]3([H])O[C@H](CO)[C@@]([H])(O[C@@]4([H])O[C@H](CO)[C@@]([H])(O[C@@]5([H])O[C@H](CO)[C@@]([H])(O[C@@]6([H])O[C@H](CO)[C@@]([H])(O[C@@]7([H])O[C@H](CO)[C@@]([H])(O[C@@]8([H])O[C@H](CO)[C@@]([H])(O1)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O
6585,C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2
2491,C1=CC2=C(C=C1)C1=C3C2=CC=CC3=CC=C1
4539,ClC=CCl
7115,COP(=O)(OC)OC(=CCl)C1=C(Cl)C=C(Cl)C(Cl)=C1
6094,ClCC=CCCl
6096,ClC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
6098,[Cl-].[Cl-].[Zn++]
6105,CCCCCCCCCCCCCBr
3555,CCCCCCCCCCCCCCCCCBr
6641,[O-][N+](=O)C1=C2C=CC=CC2=CC=C1
6643,C1C2=C(C=CC=C2)C2=C1C=CC=C2
4598,CCCCCCCCCCCCCC(O)=O
