,deleted_duplicate_smiles_0
7047,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2C4C(C(C(C(O4)CO)O)O)O)C=C(C=C3O)CO
7306,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@H](CC[C@]12C)OC(C)=O
4902,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
7848,CC1=CC(N)=C(C)C=C1
2858,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
7601,CC1=C(C=CC=C1N=C=O)N=C=O
5946,CCCCCCCCCCCCC
5947,CCCCCCCCCCCCCC
5948,CCCCCCCCCCCCCCC
6458,CCCCCCC1CCC(=O)O1
5953,CCCCCCCCCCCCCCCCC
4550,CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(O)=CC=C4[C@H]3CC[C@]12C
2122,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O
6351,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
5457,CC1=CC=C(C=C1N=C=O)N=C=O
6741,FC(Cl)(Cl)C(F)(Cl)Cl
6742,FC(F)(Cl)C(F)(Cl)Cl
5080,CCCCCCCCCCCCCCCC
3672,CCCCCCCCCCOC(=O)C(C)=C
3173,CCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(C)C
7398,CCC1=C(N([C@@H](C)COC)C(=O)CCl)C(C)=CC=C1
7525,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
3177,CCCCCCCCC(CCCCCC)C(O)=O
7277,OC1N=C(C2=CC=CC=C2Cl)C2=CC(Cl)=CC=C2NC1=O
7024,CC1=CC(=CC=C1O)C(C)(C)C1=CC(C)=C(O)C=C1
3705,CCCCCCCCCCCCCCCCCCOC(=O)C(C)=C
