,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.779,0.7443,0.7917,0.6552,0.717,0.4826,0.7368
0_1,0.6932,0.6477,0.4167,0.7143,0.5263,0.3389,0.6842
0_2,0.7413,0.7238,0.76,0.6552,0.7037,0.4442,0.7193
0_3,0.7975,0.7106,0.64,0.6957,0.6667,0.4261,0.7193
0_4,0.645,0.6481,0.64,0.5926,0.6154,0.2944,0.6491
0_5,0.7737,0.6219,0.4,0.6667,0.5,0.2747,0.6491
0_6,0.7212,0.6838,0.68,0.6296,0.6538,0.3652,0.6842
0_7,0.705,0.6081,0.56,0.56,0.56,0.2162,0.614
0_8,0.7962,0.7306,0.68,0.7083,0.6939,0.4636,0.7368
0_9,0.8451,0.724,0.6667,0.6957,0.6809,0.4506,0.7321
0_Mean,0.7497,0.6843,0.6235,0.6573,0.6318,0.3756,0.6925
0_SD,0.0596,0.0493,0.1302,0.0509,0.0777,0.0917,0.0435
Mean,0.7497,0.6843,0.6235,0.6573,0.6318,0.3756,0.6925
SD,0.0596,0.0494,0.1302,0.0509,0.0777,0.0917,0.0435
