,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6668,0.6589,0.3529,0.1765,0.2353,0.2271,0.952
0_1,0.6949,0.6839,0.4118,0.1667,0.2373,0.2378,0.9446
0_2,0.7494,0.7421,0.5294,0.2,0.2903,0.303,0.9459
0_3,0.7803,0.7671,0.5882,0.1887,0.2857,0.3096,0.9385
0_4,0.7595,0.7759,0.5882,0.2564,0.3571,0.3695,0.9557
0_5,0.7535,0.7721,0.5882,0.2222,0.3226,0.3406,0.9483
0_6,0.8832,0.7684,0.5882,0.1961,0.2941,0.3167,0.941
0_7,0.7535,0.7402,0.5294,0.1875,0.2769,0.2916,0.9422
0_8,0.737,0.6917,0.4375,0.14,0.2121,0.2217,0.936
0_9,0.6734,0.6576,0.3529,0.1667,0.2264,0.2192,0.9495
0_Mean,0.7452,0.7258,0.4967,0.1901,0.2738,0.2837,0.9454
0_SD,0.062,0.0479,0.0987,0.0323,0.046,0.0538,0.0062
Mean,0.7452,0.7258,0.4967,0.1901,0.2738,0.2837,0.9454
SD,0.0619,0.0479,0.0987,0.0322,0.046,0.0539,0.0062
