,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.509,0.5527,0.1538,0.0541,0.08,0.0636,0.9375
0_1,0.7134,0.5534,0.1538,0.0556,0.0816,0.0652,0.9389
0_2,0.6798,0.5534,0.1538,0.0556,0.0816,0.0652,0.9389
0_3,0.5104,0.5946,0.2308,0.0909,0.1304,0.1205,0.9457
0_4,0.7,0.5939,0.2308,0.0882,0.1277,0.1179,0.9443
0_5,0.8133,0.6862,0.4167,0.1351,0.2041,0.2158,0.9469
0_6,0.7215,0.6751,0.4167,0.0943,0.1538,0.1716,0.9252
0_7,0.757,0.7491,0.5385,0.1944,0.2857,0.3043,0.9524
0_8,0.8341,0.6282,0.3077,0.0976,0.1481,0.1473,0.9374
0_9,0.624,0.596,0.2308,0.0968,0.1364,0.1259,0.9483
0_Mean,0.6862,0.6183,0.2833,0.0963,0.143,0.1397,0.9415
0_SD,0.1113,0.0662,0.1333,0.0426,0.0634,0.0759,0.0077
Mean,0.6862,0.6183,0.2833,0.0963,0.1429,0.1397,0.9416
SD,0.1113,0.0662,0.1333,0.0426,0.0634,0.0759,0.0077
