,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6041,0.391,0.6046,0.75,0.0271,,0.0523,0.0584,0.4649,12,366,431,4
0_1,0.5222,0.281,0.5222,0.5294,0.0228,,0.0437,0.0127,0.5154,9,410,386,8
0_2,0.6506,0.4299,0.6511,0.8235,0.0326,,0.0628,0.0866,0.4859,14,381,415,3
0_3,0.5674,0.3404,0.5679,0.6471,0.0263,,0.0506,0.0389,0.492,11,389,407,6
0_4,0.6557,0.4302,0.6561,0.8235,0.0333,,0.0639,0.0894,0.4957,14,389,407,3
0_5,0.6211,0.4,0.6217,0.7647,0.0304,,0.0584,0.0697,0.4846,13,381,415,4
0_6,0.6612,0.4306,0.6618,0.8235,0.034,,0.0653,0.0926,0.5068,14,398,398,3
0_7,0.603,0.3707,0.6036,0.7059,0.0293,,0.0563,0.0593,0.5055,12,399,397,5
0_8,0.6184,0.3998,0.6185,0.7647,0.03,,0.0578,0.068,0.4785,13,376,420,4
0_9,0.5271,0.2812,0.5147,0.5294,0.0221,,0.0425,0.0084,0.5006,9,398,398,8
0_Mean,0.6031,0.3755,0.6022,0.7162,0.0288,,0.0554,0.0584,0.493,12.1,388.7,407.4,4.8
0_SD,0.05,0.0572,0.0524,0.1131,0.0042,,0.008,0.03,0.015,1.911950719959998,13.030306553910728,13.226236552146394,1.9321835661585918
Mean,0.6031,0.3755,0.6022,0.7162,0.0288,,0.0554,0.0584,0.493,12.1,388.7,407.4,4.8
SD,0.0501,0.0572,0.0524,0.1131,0.0042,,0.008,0.03,0.015,1.912,13.0303,13.2262,1.9322
