,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7238,0.7316,0.5,0.0357,0.0667,0.1261,0.962
0_1,0.7241,0.7316,0.5,0.0357,0.0667,0.1261,0.962
0_2,0.7214,0.7337,0.5,0.04,0.0741,0.1343,0.966
0_3,0.9905,0.983,1.0,0.0741,0.1379,0.2675,0.966
0_4,0.4598,0.4741,0.0,0.0,,-0.0122,0.9457
0_5,0.4659,0.4775,0.0,0.0,,-0.0113,0.9524
0_6,0.4632,0.4775,0.0,0.0,,-0.008,0.9537
0_7,0.4653,0.4768,0.0,0.0,,-0.0081,0.9524
0_8,0.9837,0.9714,1.0,0.0233,0.0455,0.1481,0.9429
0_9,0.9598,0.7227,0.5,0.0244,0.0465,0.1011,0.9442
0_Mean,0.6957,0.678,0.4,0.0233,0.0729,0.0863,0.9547
0_SD,0.2254,0.1979,0.3944,0.0244,0.0339,0.0939,0.0089
Mean,0.6958,0.678,0.4,0.0233,0.0729,0.0864,0.9547
SD,0.2255,0.1979,0.3944,0.0244,0.0339,0.0939,0.0088
