,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6278,0.5985,0.5294,0.033,0.0621,0.0597,0.6646
0_1,0.6124,0.6048,0.5294,0.0342,0.0643,0.0641,0.6769
0_2,0.6863,0.6236,0.5294,0.0386,0.072,0.0783,0.7139
0_3,0.5008,0.4852,0.2941,0.0191,0.0358,-0.0091,0.6683
0_4,0.6446,0.5869,0.5,0.03,0.0565,0.0514,0.6704
0_5,0.5489,0.542,0.375,0.0253,0.0474,0.0257,0.7025
0_6,0.5957,0.5083,0.3125,0.0208,0.0391,0.005,0.6963
0_7,0.5194,0.5601,0.4375,0.027,0.0509,0.0358,0.6778
0_8,0.6806,0.6607,0.625,0.0398,0.0749,0.0967,0.6951
0_9,0.5978,0.5457,0.4118,0.0268,0.0504,0.0281,0.6741
0_Mean,0.6014,0.5716,0.4544,0.0295,0.0553,0.0436,0.684
0_SD,0.0631,0.0536,0.1066,0.007,0.0131,0.0327,0.0167
Mean,0.6014,0.5716,0.4544,0.0295,0.0553,0.0436,0.684
SD,0.0631,0.0536,0.1066,0.007,0.0131,0.0327,0.0167
