,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7269,0.6125,0.6,0.5556,0.5769,0.2236,0.614
0_1,0.745,0.7481,0.84,0.6562,0.7368,0.4962,0.7368
0_2,0.6444,0.655,0.56,0.6364,0.5957,0.316,0.6667
0_3,0.7588,0.7062,0.6,0.7143,0.6522,0.4243,0.7193
0_4,0.71,0.6394,0.56,0.6087,0.5833,0.2819,0.6491
0_5,0.845,0.775,0.8,0.7143,0.7547,0.5459,0.7719
0_6,0.7788,0.7106,0.64,0.6957,0.6667,0.4261,0.7193
0_7,0.7487,0.7188,0.625,0.7143,0.6667,0.4472,0.7321
0_8,0.6706,0.5833,0.5417,0.52,0.5306,0.1659,0.5893
0_9,0.8503,0.7969,0.75,0.7826,0.766,0.5973,0.8036
0_Mean,0.7478,0.6946,0.6517,0.6598,0.653,0.3924,0.7002
0_SD,0.0663,0.0703,0.1066,0.0809,0.0812,0.1411,0.0686
Mean,0.7478,0.6946,0.6517,0.6598,0.653,0.3924,0.7002
SD,0.0663,0.0703,0.1066,0.0809,0.0813,0.1412,0.0686
