,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.5516,0.0041,0.4988,0.0,0.0,,,-0.003,0.9939,0,809,2,3
0_1,0.7193,0.6679,0.8321,0.6667,0.5,,0.5714,0.5756,0.9963,2,809,2,1
0_2,0.6584,0.0053,0.4982,0.0,0.0,,,-0.0037,0.9926,0,808,3,3
0_3,0.455,0.0022,0.4982,0.0,0.0,,,-0.003,0.9938,0,808,3,2
0_4,0.7639,0.127,0.7475,0.5,0.2,,0.2857,0.3137,0.9938,1,807,4,1
0_5,0.7374,0.3387,0.6667,0.3333,1.0,,0.5,0.5766,0.9975,1,810,0,2
0_6,0.8119,0.6685,0.8327,0.6667,0.6667,,0.6667,0.6654,0.9975,2,809,1,1
0_7,0.6593,0.3366,0.6648,0.3333,0.25,,0.2857,0.2856,0.9938,1,807,3,2
0_8,0.6506,0.3365,0.6648,0.3333,0.25,,0.2857,0.2856,0.9938,1,807,3,2
0_9,0.4963,0.3355,0.6654,0.3333,0.3333,,0.3333,0.3309,0.9951,1,808,2,2
0_Mean,0.6504,0.2822,0.6569,0.3167,0.32,,0.4184,0.3024,0.9948,0.9,808.2,2.3,1.9
0_SD,0.117,0.2509,0.1272,0.254,0.3243,,0.159,0.2502,0.0017,0.7378647873726218,1.0327955589886446,1.1595018087284057,0.7378647873726218
Mean,0.6504,0.2822,0.6569,0.3167,0.32,,0.4184,0.3024,0.9948,0.9,808.2,2.3,1.9
SD,0.117,0.2509,0.1271,0.254,0.3243,,0.1591,0.2502,0.0017,0.7379,1.0328,1.1595,0.7379
