,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.4873,0.5474,0.125,0.0435,0.0645,0.0565,0.9606
0_1,0.6842,0.6126,0.25,0.1,0.1429,0.1437,0.9674
0_2,0.4789,0.4842,0.0,0.0,,-0.0188,0.9579
0_3,0.6487,0.6655,0.375,0.0857,0.1395,0.1613,0.9497
0_4,0.8391,0.6515,0.3333,0.12,0.1765,0.1839,0.962
0_5,0.6259,0.7043,0.4444,0.1333,0.2051,0.2271,0.9579
0_6,0.6071,0.5356,0.1111,0.0333,0.0513,0.0396,0.9497
0_7,0.6259,0.5439,0.125,0.0357,0.0556,0.0476,0.9537
0_8,0.7791,0.7898,0.625,0.1316,0.2174,0.2716,0.951
0_9,0.7215,0.6071,0.25,0.0714,0.1111,0.1161,0.9565
0_Mean,0.6497,0.6142,0.2639,0.0755,0.1293,0.1229,0.9566
0_SD,0.1142,0.0916,0.1862,0.0463,0.0633,0.0917,0.0058
Mean,0.6498,0.6142,0.2639,0.0754,0.1293,0.1229,0.9566
SD,0.1142,0.0916,0.1862,0.0463,0.0633,0.0917,0.0058
