,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6862,0.6698,0.4375,0.0824,0.1386,0.1542,0.893
0_1,0.494,0.5762,0.2353,0.0571,0.092,0.0777,0.9028
0_2,0.4544,0.5455,0.1765,0.0423,0.0682,0.0461,0.8991
0_3,0.6517,0.5806,0.2353,0.0635,0.1,0.0863,0.9114
0_4,0.4925,0.5505,0.1765,0.0476,0.075,0.0541,0.909
0_5,0.5976,0.5999,0.2941,0.0625,0.1031,0.096,0.893
0_6,0.5062,0.5848,0.25,0.0588,0.0952,0.0851,0.9064
0_7,0.631,0.6047,0.3125,0.0575,0.0971,0.0941,0.8855
0_8,0.461,0.5586,0.1875,0.0508,0.08,0.0627,0.915
0_9,0.6433,0.6666,0.4375,0.0778,0.1321,0.1475,0.8867
0_Mean,0.5618,0.5937,0.2743,0.06,0.0981,0.0904,0.9002
0_SD,0.0885,0.0438,0.0974,0.0125,0.0227,0.0359,0.0104
Mean,0.5618,0.5937,0.2743,0.06,0.0981,0.0904,0.9002
SD,0.0885,0.0438,0.0974,0.0125,0.0227,0.0359,0.0104
