,Inside,AUC_ROC,AUC_PR,F1,B_A,Precision,Recall,Specificity,TP,TN,FP,FN,Outside,AUC_ROC_o,AUC_PR_o,F1_o,B_A_o,Precision_o,Recall_o,Specificity_o,TP_o,TN_o,FP_o,FN_o
TOX21_PPARd_BLA_antagonist_ratio,721,0.7235273492286114,0.12547684781875962,0.3076923076923077,0.6228962131837308,0.4,0.25,0.9957924263674615,2,710,3,6,13,0,0,0,0.5,0,0,1.0,0,13,0,0
TOX21_PPARd_BLA_antagonist_ratio,721,0.8340638148667602,0.12256533115161565,0.18181818181818182,0.5610974754558204,0.3333333333333333,0.125,0.9971949509116409,1,711,2,7,13,0,0,0,0.5,0,0,1.0,0,13,0,0
