,Inside,AUC_ROC,AUC_PR,F1,B_A,Precision,Recall,Specificity,TP,TN,FP,FN,Outside,AUC_ROC_o,AUC_PR_o,F1_o,B_A_o,Precision_o,Recall_o,Specificity_o,TP_o,TN_o,FP_o,FN_o
TOX21_VDR_BLA_agonist_ratio,700,0.6489971346704871,0.004987789987789988,0,0.5,0,0.0,1.0,0,698,0,2,36,0,0,0,0.5,0,0,1.0,0,36,0,0
TOX21_VDR_BLA_agonist_ratio,700,0.5759312320916905,0.003930372921029341,0,0.5,0,0.0,1.0,0,698,0,2,36,0,0,0,0.5,0,0,1.0,0,36,0,0
