TOX21_AR_BLA_Agonist_ratio,AUC,AUC_PR,Recall,F1
valid_base,0.8391669619616516,0.546544784618669,0.5350766818758809,0.572566269151635
valid_tuned,0.8361124300007046,0.5423085794199011,0.5241799992400678,0.5855866304932519
test_base,0.8610941475826972,0.5760332607728647,0.56,0.6511627906976745
test_tuned,0.8479134860050893,0.567482712775848,0.56,0.6511627906976745
