TOX21_AR_BLA_Antagonist_ratio,AUC,AUC_PR,Recall,F1
valid_base,0.7335015375517164,0.21503100977293937,0.25882423117203546,0.2727826348457504
valid_tuned,0.7260711899475117,0.23114167122974633,0.2523105268530986,0.2607717692136975
test_base,0.7408159947984396,0.27568750441556567,0.3,0.3116883116883117
test_tuned,0.7356794538361509,0.28194330128784195,0.35,0.34567901234567905
