TOX21_HSE_BLA_agonist_ratio,AUC,AUC_PR,Recall,F1
valid_base,0.7424141783271937,0.11396848202012974,0.1476190476190476,0.16736272986272988
valid_tuned,0.748501544486857,0.11967325884215427,0.16025793650793652,0.18344406470722266
test_base,0.7781034482758621,0.1109774490583602,0.25,0.26666666666666666
test_tuned,0.8155172413793104,0.10836664812485233,0.25,0.26666666666666666
