TOX21_p53_BLA_p4_ratio,AUC,AUC_PR,Recall,F1
valid_base,0.6565438608637401,0.11157020263623862,0.10510225885225885,0.14151958178273966
valid_tuned,0.6379814823929443,0.1041907437013436,0.15054639804639805,0.15246005906607124
test_base,0.5939768854645133,0.04247411708950938,0.0,0.0
test_tuned,0.6093124907393688,0.04220157691015594,0.11764705882352941,0.09999999999999999
