TOX21_PPARg_BLA_antagonist_ratio,AUC,AUC_PR,Recall,F1
valid_base,0.8326769518181683,0.20910356188671425,0.22875606448112845,0.2570736057613844
valid_tuned,0.8326769518181683,0.20910356188671425,0.22875606448112845,0.2570736057613844
test_base,0.8450204272989084,0.17821334599841948,0.09523809523809523,0.11764705882352941
test_tuned,0.8450204272989084,0.17821334599841948,0.09523809523809523,0.11764705882352941
