NVS_ADME_hCYP2B6,AUC,AUC_PR,Recall,F1
valid_base,0.8618683862433862,0.9038998738805285,0.909047619047619,0.7826497994609449
valid_tuned,0.8209656084656085,0.8709326380189475,0.8979365079365079,0.7711113379224834
test_base,0.7708333333333334,0.8293087121212122,0.625,0.625
test_tuned,0.8125,0.8542343073593073,0.75,0.7999999999999999
