TOX21_ERa_BLA_Agonist_ratio,AUC,AUC_PR,Recall,F1
valid_base,0.7848380090026547,0.3884120425124581,0.34042514187853284,0.38649639613097025
valid_tuned,0.7961773004852766,0.39759742845911883,0.3595043385439364,0.42780816392950805
test_base,0.8257121716611173,0.4095688502496488,0.4117647058823529,0.43749999999999994
test_tuned,0.8165001849796523,0.45033214693066914,0.47058823529411764,0.5714285714285714
