TOX21_ELG1_LUC_Agonist,AUC,AUC_PR,Recall,F1
valid_base,0.7281335636091039,0.09029586820770713,0.07095238095238095,0.11190476190476191
valid_tuned,0.7647861438229454,0.10875433803661119,0.07095238095238095,0.11190476190476191
test_base,0.8569306930693069,0.46644380697886234,0.2,0.33333333333333337
test_tuned,0.8256188118811881,0.44420224847435386,0.2,0.33333333333333337
