TOX21_p53_BLA_p5_ratio,AUC,AUC_PR,Recall,F1
valid_base,0.6173639121783602,0.1032320803741392,0.10869200244200246,0.11116178469904833
valid_tuned,0.6132392880342491,0.10444341249304026,0.09583485958485957,0.1145557176982254
test_base,0.6615418894830659,0.14650355980326746,0.11764705882352941,0.1739130434782609
test_tuned,0.6806298276886512,0.1163732609349387,0.11764705882352941,0.19047619047619047
