TOX21_ERa_BLA_Antagonist_ratio,AUC,AUC_PR,Recall,F1
valid_base,0.7118264156131231,0.1465509741735342,0.16738201412114456,0.19107260519430797
valid_tuned,0.6866226437823741,0.13542185319324113,0.16061872909698996,0.1793566088372323
test_base,0.7390319071791153,0.1126609628991402,0.14285714285714285,0.16666666666666666
test_tuned,0.663856659415035,0.08243247722456871,0.14285714285714285,0.17647058823529413
