NCCT_TPO_AUR_dn,AUC,AUC_PR,Recall,F1
valid_base,0.8009881774418155,0.7637234324535538,0.6599960179065038,0.6699742267681733
valid_tuned,0.8073484059170439,0.770305356134342,0.6641936463650018,0.670031104318627
test_base,0.8,0.7255446275589633,0.88,0.7333333333333334
test_tuned,0.7935483870967743,0.7389893987915794,0.84,0.711864406779661
