TOX21_PPARd_BLA_agonist_ratio,AUC,AUC_PR,Recall,F1
valid_base,0.7434137955117156,0.1592703420127998,0.1833333333333333,0.17444444444444446
valid_tuned,0.8174428746026237,0.20478661636203194,0.21666666666666665,0.22999999999999998
test_base,0.9933880528955769,0.47619047619047616,0.3333333333333333,0.5
test_tuned,0.9913360693114456,0.4589752567693744,0.3333333333333333,0.5
