TOX21_ESRE_BLA_ratio,AUC,AUC_PR,Recall,F1
valid_base,0.7339480267153295,0.2995132107286875,0.225,0.29454545454545455
valid_tuned,0.7339480267153295,0.2995132107286875,0.225,0.29454545454545455
test_base,0.9263565891472869,0.6719421005693901,0.6666666666666666,0.8
test_tuned,0.9263565891472869,0.6719421005693901,0.6666666666666666,0.8
