,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8066,0.6831,0.375,0.4615,0.4138,0.4055,0.979
0_1,0.6146,0.5581,0.125,0.2222,0.16,0.1542,0.9741
0_2,0.7009,0.5587,0.125,0.25,0.1667,0.1653,0.9753
0_3,0.805,0.6493,0.3125,0.3125,0.3125,0.2987,0.9729
0_4,0.7338,0.715,0.4375,0.5385,0.4828,0.4761,0.9815
0_5,0.8914,0.7616,0.5294,0.6429,0.5806,0.5754,0.984
0_6,0.6299,0.525,0.0588,0.125,0.08,0.0725,0.9716
0_7,0.7353,0.5832,0.1765,0.2727,0.2143,0.2061,0.9729
0_8,0.6558,0.6414,0.2941,0.3571,0.3226,0.311,0.9741
0_9,0.7762,0.7002,0.4118,0.4375,0.4242,0.4125,0.9766
0_Mean,0.7349,0.6376,0.2846,0.362,0.3157,0.3077,0.9762
0_SD,0.0877,0.0787,0.1571,0.1579,0.1605,0.1599,0.0041
Mean,0.735,0.6376,0.2846,0.362,0.3158,0.3077,0.9762
SD,0.0877,0.0787,0.1571,0.1579,0.1605,0.1599,0.0041
