,deleted_duplicate_smiles_0
6795,CC1=CC(C)=C(C=C1)[N+]([O-])=O
3476,CC(C)CCCCCCOC(=O)CCCCC(=O)OCCCCCCC(C)C
6814,CC(=O)O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
5028,O.O.[Zn++].CC([O-])=O.CC([O-])=O
4016,OC1=C(C=C(Cl)C=C1)C(=O)NC1=CC=CC=C1
3512,NNC1=NC(=CS1)C1=CC=CC=C1
6859,C1=CC2=C(C=C1)N=CC=N2
1360,OC1=CC=CC(=C1)C(=O)C1=CC=CC=C1
6098,[Cl-].[Cl-].[Zn++]
4438,C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O
5980,[Cl-].[Cl-].[Cu++]
7274,CC1=CC=C(C=C1C)[N+]([O-])=O
6513,CC1=CC=CC(=C1C)[N+]([O-])=O
6898,NC1=C(Cl)C=C(C=C1)C1=CC(Cl)=C(N)C=C1
4726,[Zn++].CC([O-])=O.CC([O-])=O
6779,CC1=CC(=C(C)C=C1)[N+]([O-])=O
7164,OC1=CC=C(Cl)C=C1CC1=CC(Cl)=CC=C1O
