,deleted_duplicate_smiles_0
193,C1=CC2=C3C=CC=C4C=CC5=CC=CC(=C2C=C1)C5=C34
354,OC1=C2C=CC3=CC=CC4=CC=C(C=C1)C2=C34
545,CCC1=CC(=C(O)C=C1)C(C)(C)C
196,CCCCCCCC1=CC=C(O)C=C1
388,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@H]2O
358,C1=CC2=CC=C3C=C4C(C=CC5=CC=CC=C45)=CC3=C2C=C1
546,CC(C)(C)C1=CC(=C(O)C=C1)C(C)(C)C
508,CC1=CC(O)=C(C=C1)C(C)(C)C
505,CC(C)(C)C1=C(O)C=CC=C1
378,C1=CC2=C(C=C1)C=C1C(C=CC3=C1C=CC=C3)=C2
316,CC(C)=CCCC(C)=CCCC(C)=CCO
221,CC1=CC(=C(O)C=C1)C(C)(C)C
351,CC1=C(C)C(O)=CC=C1
