,deleted_duplicate_smiles_0
3585,F[P-](F)(F)(F)(F)F.CCCCCCN1C=C[N+](C)=C1
3586,F[P-](F)(F)(F)(F)F.CCCCCCCCN1C=C[N+](C)=C1
4227,[O-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCN1C=C[N+](C)=C1
7306,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@H](CC[C@]12C)OC(C)=O
4113,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@](C)(O)CC[C@]12C
2834,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCN1C=C[N+](C)=C1
2835,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
2836,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
5281,C[C@@H]1CC2=C(CCC(=O)C2)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]3(O)C#C)[C@H]12
2341,OC(=O)C1=C(Cl)C=CC(Cl)=N1
4140,C\C=C1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
4397,[O-]S(=O)(=O)C(F)(F)F.CCCCCCN1C=C[N+](C)=C1
7218,CC1=CC=CC(=C1C)[N+]([O-])=O
5428,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C=C1)C(O)=O
5684,[O-][N+](=O)C1=CC2=CC=CC=C2C(=C1)[N+]([O-])=O
4158,[O-][N+](=O)C1=CC(=CC(=C1Cl)[N+]([O-])=O)C(F)(F)F
4550,CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(O)=CC=C4[C@H]3CC[C@]12C
6346,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O
79,O.O.O.O.O.O.[Ni++].[O-]S([O-])(=O)=O
6357,ClC1=C(Cl)N=CC(=C1)C(Cl)(Cl)Cl
7514,CC1=CC(=C(C)C=C1)[N+]([O-])=O
8040,CC1=CC=C(C=C1C)[N+]([O-])=O
3177,CCCCCCCCC(CCCCCC)C(O)=O
7533,CC1=CC(C)=C(C=C1)[N+]([O-])=O
5231,[Zn++].CC([O-])=O.CC([O-])=O
7024,CC1=CC(=CC=C1O)C(C)(C)C1=CC(C)=C(O)C=C1
4596,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO
4599,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO
3067,F[B-](F)(F)F.CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
3965,F[P-](F)(F)(F)(F)F.CCCCCCCCCCN1C=C[N+](C)=C1
