,deleted_duplicate_smiles_0
6784,[O-][N+](=O)C1=CC(Cl)=C(Cl)C=C1Cl
2435,[O-][N+](=O)C1=CC(Cl)=C(Cl)C(Cl)=C1
5256,Cl.CN(C)CCC=C1C2=C(C=CC=C2)C=CC2=C1C=CC=C2
3472,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
6676,CCC1=C(N([C@@H](C)COC)C(=O)CCl)C(C)=CC=C1
2837,OC1=CC=C(CC2=C(O)C=CC=C2)C=C1
2326,[O-][N+](=O)C1=C(Cl)C=C(Cl)C=C1Cl
5153,OC1=CC(Cl)=C(Cl)C(Cl)=C1
6690,OC1=C(Cl)C=CC=C1Cl
4899,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C=C1)C(O)=O
7077,OC1=CC=CC=C1Cl
1832,OC1=CC=C(C=C1)C(=O)C1=CC=C(O)C=C1O
5165,[O-][N+](=O)C1=CC=C(Cl)C=C1Cl
3375,[O-][N+](=O)C1=CC=CC(Cl)=C1Cl
4914,OC1=CC(Cl)=CC=C1Cl
2483,Cl.CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O
6706,[O-][N+](=O)C1=CC(Cl)=C(Cl)C(Cl)=C1Cl
6963,OC1=C(Cl)C=CC(Cl)=C1Cl
6964,OC1=CC(Cl)=CC(Cl)=C1Cl
6712,OC1=C(Cl)C=C(Cl)C=C1Cl
7092,OC1=CC=C(Cl)C(Cl)=C1
2236,[O-][N+](=O)C1=CC=C(Cl)C(Cl)=C1Cl
5440,CCCCCCCCCCCCC(O)=O
7106,OC1=C(Cl)C=C(Cl)C(Cl)=C1
3783,[O-][N+](=O)C1=CC(=CC(=C1Cl)[N+]([O-])=O)C(F)(F)F
6859,C1=CC2=C(C=C1)N=CC=N2
6098,[Cl-].[Cl-].[Zn++]
2648,NC1=CC=CC2=C(N)C=CC=C12
4825,CCCCCCCCCCCCCCCC(O)=O
4826,CCCCCCCCCCCCCCCCCC(O)=O
5980,[Cl-].[Cl-].[Cu++]
6751,[O-][N+](=O)C1=C(Cl)C=CC=C1
5088,[O-][N+](=O)C1=C2C=CC=CC2=CC2=CC=CC=C12
5732,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O
5992,[Cl-].[Cl-].[Hg++]
7276,[O-][N+](=O)C1=CC=C(Cl)C(Cl)=C1
6641,[O-][N+](=O)C1=C2C=CC=CC2=CC=C1
3702,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
3703,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
4598,CCCCCCCCCCCCCC(O)=O
4859,OC1=CC=CC(Cl)=C1Cl
7166,OC1=CC=C(Cl)C=C1SC1=CC(Cl)=CC=C1O
