TOX21_VDR_BLA_agonist_ratio,AUC,AUC_PR,Recall,F1
valid_base,0.6198117893706543,0.025607819589554527,0.0,0.0
valid_tuned,0.6198117893706543,0.025607819589554527,0.0,0.0
test_base,0.710149863760218,0.5027979918938835,0.0,0.0
test_tuned,0.710149863760218,0.5027979918938835,0.0,0.0
