TOX21_AR_LUC_MDAKB2_Agonist,AUC,AUC_PR,Recall,F1
valid_base,0.7950880986943801,0.5320453734001757,0.489814882474729,0.5488907869328621
valid_tuned,0.7983878408482696,0.533837751844385,0.48263120900534134,0.5788240951263933
test_base,0.7721464019851116,0.47669912432708594,0.41935483870967744,0.5200000000000001
test_tuned,0.7700578990901571,0.4765446456354412,0.41935483870967744,0.5531914893617021
