TOX21_PPARg_BLA_Agonist_ratio,AUC,AUC_PR,Recall,F1
valid_base,0.8633512838395742,0.2765761253900699,0.20043565911212968,0.27552669552669556
valid_tuned,0.8633512838395742,0.2765761253900699,0.20043565911212968,0.27552669552669556
test_base,0.7869140846668937,0.10115074087995346,0.0,0.0
test_tuned,0.7869140846668937,0.10115074087995346,0.0,0.0
