TOX21_GR_BLA_Agonist_ratio,AUC,AUC_PR,Recall,F1
valid_base,0.8592447512704708,0.5766940621656046,0.5942020479520479,0.609255203225455
valid_tuned,0.8551018823812233,0.5791837587609198,0.5942020479520479,0.6288886886217943
test_base,0.8069211490264122,0.3133694504043219,0.46153846153846156,0.5454545454545455
test_tuned,0.8561307113938693,0.31565856649078183,0.46153846153846156,0.5454545454545455
