TOX21_AhR_LUC_Agonist,AUC,AUC_PR,Recall,F1
valid_base,0.8314614476184117,0.22267146556805076,0.29875729356833236,0.261957833342306
valid_tuned,0.8314614476184117,0.22267146556805076,0.29875729356833236,0.261957833342306
test_base,0.8405123873873874,0.2818441539166532,0.4375,0.3373493975903615
test_tuned,0.8405123873873874,0.2818441539166532,0.4375,0.3373493975903615
